GeneID	ExpressionLevel
AT1G01010	11.512727272727274
AT1G01020	13.325454545454544
AT1G01030	3.97962962962963
AT1G01040	12.518181818181818
AT1G01046	3.9078431372549023
AT1G01050	88.01818181818182
AT1G01060	45.78727272727273
AT1G01070	7.768518518518518
AT1G01080	65.77777777777777
AT1G01090	175.78181818181818
AT1G01100	501.9218181818182
AT1G01110	5.3537037037037045
AT1G01120	81.01851851851852
AT1G01130	9.777777777777779
AT1G01140	58.70909090909091
AT1G01150	0.3333333333333333
AT1G01160	39.876363636363635
AT1G01170	85.75925925925925
AT1G01180	13.056363636363637
AT1G01183	2.9250000000000003
AT1G01190	5.68
AT1G01200	3.009259259259259
AT1G01210	14.872727272727273
AT1G01220	14.25925925925926
AT1G01225	5.648148148148148
AT1G01230	46.74545454545454
AT1G01240	21.91090909090909
AT1G01250	6.602083333333333
AT1G01260	13.454545454545455
AT1G01270	2.0
AT1G01280	1.0
AT1G01290	10.576363636363638
AT1G01300	67.70370370370371
AT1G01305	2.2
AT1G01310	89.30882352941175
AT1G01320	117.36363636363636
AT1G01340	5.778181818181818
AT1G01350	23.12727272727273
AT1G01355	0.7000000000000001
AT1G01360	21.12727272727273
AT1G01370	5.079999999999999
AT1G01380	2.3925925925925924
AT1G01390	4.184615384615385
AT1G01400	0.2
AT1G01410	0.3
AT1G01420	8.284905660377358
AT1G01430	50.69272727272727
AT1G01440	13.054545454545455
AT1G01448	4.578181818181818
AT1G01450	0.16
AT1G01453	1.5303030303030303
AT1G01460	56.7
AT1G01470	138.29090909090908
AT1G01480	2.3156862745098037
AT1G01490	46.88909090909091
AT1G01500	21.236363636363638
AT1G01510	27.618181818181817
AT1G01520	5.75686274509804
AT1G01530	0.3647058823529412
AT1G01540	59.38363636363636
AT1G01550	147.5909090909091
AT1G01560	4.936734693877551
AT1G01570	2.7945454545454544
AT1G01580	12.70566037735849
AT1G01590	1.1814814814814814
AT1G01600	13.943636363636363
AT1G01610	67.27777777777777
AT1G01620	432.5472727272727
AT1G01630	66.37037037037037
AT1G01640	8.559259259259258
AT1G01650	26.618181818181817
AT1G01660	1.6444444444444444
AT1G01670	2.0666666666666664
AT1G01680	3.74375
AT1G01690	7.033333333333333
AT1G01695	0.58125
AT1G01700	2.1735849056603773
AT1G01710	31.036363636363635
AT1G01715	4.965454545454546
AT1G01720	45.69454545454545
AT1G01725	14.036363636363637
AT1G01730	32.351851851851855
AT1G01740	5.479629629629629
AT1G01750	3.630188679245283
AT1G01760	3.476363636363636
AT1G01770	14.654545454545454
AT1G01780	42.18181818181818
AT1G01790	57.29090909090909
AT1G01800	76.03818181818183
AT1G01810	1.4574074074074075
AT1G01820	70.84
AT1G01830	14.185185185185185
AT1G01840	0.541860465116279
AT1G01860	9.796363636363635
AT1G01870	2.0
AT1G01880	2.8036363636363633
AT1G01890	1.1666666666666667
AT1G01900	3.6222222222222222
AT1G01910	40.63636363636363
AT1G01920	13.49090909090909
AT1G01930	12.836363636363636
AT1G01940	24.555555555555557
AT1G01950	13.32909090909091
AT1G01960	33.85272727272727
AT1G01970	28.534545454545455
AT1G01980	140.25
AT1G01990	24.87272727272727
AT1G02000	39.018181818181816
AT1G02010	7.965454545454546
AT1G02020	11.8
AT1G02030	0.4717391304347826
AT1G02040	4.076470588235295
AT1G02050	9.512727272727274
AT1G02060	6.125925925925926
AT1G02065	3.9976190476190476
AT1G02067	0.2
AT1G02070	2.006382978723404
AT1G02080	31.145454545454545
AT1G02090	33.70909090909091
AT1G02100	43.527272727272724
AT1G02110	23.854545454545455
AT1G02120	58.949090909090906
AT1G02130	66.2
AT1G02140	184.25454545454545
AT1G02145	19.90909090909091
AT1G02150	94.31090909090909
AT1G02160	47.472727272727276
AT1G02170	38.872727272727275
AT1G02180	9.818181818181818
AT1G02190	13.204347826086956
AT1G02205	65.12545454545455
AT1G02210	3.0
AT1G02220	12.592592592592593
AT1G02230	1.6673076923076924
AT1G02250	0.2708333333333333
AT1G02260	11.874545454545455
AT1G02270	20.98363636363636
AT1G02280	108.31636363636363
AT1G02290	9.851851851851851
AT1G02300	23.553703703703704
AT1G02305	99.38181818181818
AT1G02310	1.908695652173913
AT1G02330	39.56363636363636
AT1G02335	18.0
AT1G02340	12.083333333333334
AT1G02350	8.381818181818181
AT1G02360	23.375
AT1G02370	8.24074074074074
AT1G02380	4.547272727272727
AT1G02390	4.313725490196078
AT1G02400	20.60185185185185
AT1G02405	0.9363636363636364
AT1G02410	20.836363636363636
AT1G02420	1.0653846153846154
AT1G02430	0.7416666666666667
AT1G02440	0.5704545454545454
AT1G02450	7.946666666666667
AT1G02460	2.8703703703703702
AT1G02470	6.5442307692307695
AT1G02475	59.27777777777778
AT1G02490	1.4000000000000001
AT1G02500	430.3090909090909
AT1G02510	0.4125
AT1G02520	6.094444444444444
AT1G02530	0.791111111111111
AT1G02540	0.7
AT1G02550	0.44999999999999996
AT1G02560	267.00545454545454
AT1G02570	1.7121212121212122
AT1G02575	0.8714285714285713
AT1G02580	0.4594594594594595
AT1G02590	0.5
AT1G02610	7.277777777777778
AT1G02620	1.0232558139534884
AT1G02630	1.2714285714285716
AT1G02640	20.412727272727274
AT1G02650	0.9381818181818181
AT1G02660	20.509090909090908
AT1G02670	1.488888888888889
AT1G02680	21.73090909090909
